Code,Description,CompCode,CompDescr,Code,Description
ELC_DIST,Distribution Systems,EQ145,Site Electrical Distribution Board,PR6158,Emergency power shutdown (isolation) switch activated or faulty
ELC_DIST,Distribution Systems,EQ145,Site Electrical Distribution Board,PR6159,Surge protection system faulty
ELC_DIST,Distribution Systems,EQ146,Site Power Supplies,PR6160,Total loss of power to site
ELC_DIST,Distribution Systems,EQ145,Site Electrical Distribution Board,PR6491,Blanks in distribution board require replacing
ELC_DUCT,Ductwork,EQ148,"Cable Systems, Trunking and Tray",PR6161,Electrical Ductwork / Cabling exposed or hanging (HSSE hazard)
ELC_DUCT,Ductwork,EQ148,"Cable Systems, Trunking and Tray",PR6162,Electrical wiring / cables damaged or loose
ELC_ERTH,Earthing Systems,EQ149,Earthing Systems,PR6163,Earth system / cabling damaged or faulty
ELC_ERTH,Earthing Systems,EQ149,Earthing Systems,PR6164,Earth system fault alarm activated
ELC_LASP,Lightning and Surge Protection,*514838,Lightning and Surge Protection,PR6150,General electrical : major fault
ELC_LASP,Lightning and Surge Protection,*514838,Lightning and Surge Protection,PR6151,General electrical : minor fault
ELC_LASP,Lightning and Surge Protection,*514838,Lightning and Surge Protection,PR6159,Surge protection system faulty
ELC_LGHT,Lighting Systems,EQ154,Canopy Soffit Lighting,PR6004,Minor structural damage
ELC_LGHT,Lighting Systems,EQ151,Automatic Lighting Systems,PR6062,Electrical fault / power failure
ELC_LGHT,Lighting Systems,EQ174,Shop Display Freezer Electrical / Lighting Systems,PR6062,Electrical fault / power failure
ELC_LGHT,Lighting Systems,EQ175,Shop Display Fridge Electrical / Lighting Systems,PR6062,Electrical fault / power failure
ELC_LGHT,Lighting Systems,EQ176,Shop Pod Sign Electrical / Lighting Unit,PR6062,Electrical fault / power failure
ELC_LGHT,Lighting Systems,EQ177,Shop Portico Sign Electrical / Lighting Unit,PR6062,Electrical fault / power failure
ELC_LGHT,Lighting Systems,EQ178,Shop Product / Advertising Electrical / Lighting Unit,PR6062,Electrical fault / power failure
ELC_LGHT,Lighting Systems,EQ179,Site Entrance / Direction Sign Electrical / Lighting Unit,PR6062,Electrical fault / power failure
ELC_LGHT,Lighting Systems,EQ180,Site Name Sign Electrical / Lighting Unit,PR6062,Electrical fault / power failure
ELC_LGHT,Lighting Systems,EQ181,Slim Line (Low Level Price) Sign Electrical / Lighting Unit,PR6062,Electrical fault / power failure
ELC_LGHT,Lighting Systems,EQ182,Snack / Food Display  Sign Electrical / Lighting Unit,PR6062,Electrical fault / power failure
ELC_LGHT,Lighting Systems,EQ183,Spreaderbox Sign Electrical / Lighting Unit,PR6062,Electrical fault / power failure
ELC_LGHT,Lighting Systems,EQ184,Stanchion Mounted Spreaderbox Electrical / Lighting Unit,PR6062,Electrical fault / power failure
ELC_LGHT,Lighting Systems,EQ185,Tanker Discharge Area Electrical / Lighting Unit,PR6062,Electrical fault / power failure
ELC_LGHT,Lighting Systems,EQ186,Utility / Storeroom Freezer Electrical / Lighting Systems,PR6062,Electrical fault / power failure
ELC_LGHT,Lighting Systems,EQ187,Utility / Storeroom Fridge Electrical / Lighting Systems,PR6062,Electrical fault / power failure
ELC_LGHT,Lighting Systems,EQ151,Automatic Lighting Systems,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ152,Canopy Fascia Electrical / Lighting Unit,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ153,Canopy Lighting,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ154,Canopy Soffit Lighting,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ155,Car Wash Building Lighting,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ156,Car Wash Directional Sign Electrical / Lighting Unit,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ157,Car Wash Instruction Sign Electrical / Lighting Unit,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ158,Car Wash Menu Sign Electrical / Lighting Unit,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ159,Dispenser Mounted Spreaderbox Electrical / Lighting Unit,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ160,External Security Lighting,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ161,External Storeroom Lighting,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ162,Flag Sign Electrical / Lighting Unit,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ163,Forecourt Traffic Direction Sign Electrical / Lighting Unit,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ164,Information Sign Electrical / Lighting Unit,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ165,Internal Lighting,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ166,Monolith Electrical / Lighting Unit,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ167,Motorway Price Sign Electrical / Lighting Unit,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ168,Pole Sign Electrical / Lighting Unit,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ169,Poster Sign Electrical / Lighting Unit,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ170,Pylon Sign Electrical / Lighting Unit,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ171,Restaurant Menu-Board Electrical / Lighting Unit,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ172,Restroom Building Lighting,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ173,Shop / Sales Building Lighting,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ174,Shop Display Freezer Electrical / Lighting Systems,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ175,Shop Display Fridge Electrical / Lighting Systems,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ176,Shop Pod Sign Electrical / Lighting Unit,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ177,Shop Portico Sign Electrical / Lighting Unit,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ178,Shop Product / Advertising Electrical / Lighting Unit,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ179,Site Entrance / Direction Sign Electrical / Lighting Unit,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ180,Site Name Sign Electrical / Lighting Unit,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ181,Slim Line (Low Level Price) Sign Electrical / Lighting Unit,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ182,Snack / Food Display  Sign Electrical / Lighting Unit,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ183,Spreaderbox Sign Electrical / Lighting Unit,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ184,Stanchion Mounted Spreaderbox Electrical / Lighting Unit,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ185,Tanker Discharge Area Electrical / Lighting Unit,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ186,Utility / Storeroom Freezer Electrical / Lighting Systems,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ187,Utility / Storeroom Fridge Electrical / Lighting Systems,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ188,Workshop Building Lighting,PR6166,Lighting fault
ELC_LGHT,Lighting Systems,EQ154,Canopy Soffit Lighting,PR6167,Less than 50% of canopy lights faulty
