Glenrob Motors,67,Klein Street,HILLBREW,2001
Globe Motors,36,Power Street,GERMISTON,1411
Grobler's Service Station,1,Voortrekker Street & Glen Albyn Str,ALBERTON,1450
Grove Auto City,101c,Louis Botha Avenue,ORANGE GROVE,2001
Guys Service Centre,,Cnr Mcclean & van Eck,KRUGERSDORP,1756
Highway Motors (Odendaalsrus),34,Voortrekker Street,ODENDAALSRUS,9480
Human Motors (Welkom),141,Arrarat Road,WELKOM,9460
JDP Motors,109,Kerkstreet,ODENDAALSRUS,9480
J R Filling Station,702,Stand,KATLEHONG,2023
Kempston Truck Stop,,Ferreira Off Ramp N1,BLOEMFONTEIN,9317
Kew Service Station,,Corlett Drive & 9th Road,KEW,2018
Kruin Motors,,Cnr Hooft & Mooi Streets,ROODEPOORT,1725
Ladysmith Truck Inn,,Cnr Main Reef & Marais Roads,LANGLAAGTE,2102
Lakeview Motors,146,Long Road,WELKOM,9460
Lambton Service Centre,,Doak & Webber Streets,GERMISTON,1414
Lubbe Motors,19,Louw Street,TROMPSBURG,9913
M1 Oasis,,M1 Highway,ORMONDE,2013
Maanankoe Filling Station,,Resort Road,PHUTHADITJHABA,2013
Mangalani Service Station,,cnr Old Potchefstroom & Tsianda Rds,CHIAWELO,2000
Maokeng Filling Station,8500,Maokeng Street,KROONSTAD,9500
Maxi Motors,,cnr Van Riebeeck & Beaconsfield Rds,VEREENIGING,1930
MG's Motors,,Cnr Koma Drive & Malia Street,SOWETO,1868
Mooi Street Auto Fitment,,cnr Mooi St & Heildelberg Road,JOHANNESBURG,2023
Mummy's Motors,11910,Tau Street,KAGISANONG,9300
Nancefield Filling Station,,Cavendish & Jesmond Road,NANCEFIELD,1820
Nantes Motors,2,Nantes Street,BAYSWATER,9310
Norwood Garage,52,Grant Avenue,NORWOOD,2041
Nu-Stateway Motors,448,Stateway,WELKOM,9465
Paddy's Garage,1,Boksburg Road,SPRINGS,1560
Protea Glen Motors,,Cnr Chesnut & Sagewood,SOWETO,1868
Protea Motors,1837,Ndaba Drive,SOWETO,1868
QwaQwa Garage,,C/O Mota & Mampoi,PHUTHADITJHABA,9866
Rhodes Filling Station,,Cnr Rhodes & Buxton Sts,NIGEL,1490
Rombo Motors,44,Rietfontein Road,PRIMROSE,1416
Roryn Motors,,Cnr Voortrekker & Victoria Ave,VEREENIGING,1930
Sacks Motors,,cnr Von Weilligh & Grahamstown Road,JOHANNESBURG,2001
Sakies City Motors,,cnr Koma & Bolani Drive,SOWETO,1868
Scotts Service Station,60,Alan Paton Avenue,ENNERDALE,2001
Shopping Centre Motors,,cnr Moagi & Leside Road,VOSLOORUS,1456
Shosholoza Motors,,cnr Village & Loveday Street,JOHANNESBURG CENTRAL,1812
SK Service Station,76,Roodepoort Road,DOBSONVILLE,1863
Solo Filling Station,,cnr York & J Van Der Merwe Roads,NIGEL,1490
Soweto Highway Motors,,cnr Soweto Highway & Immink Road,SOWETO,2016
Stadion Motors,62,King Edward Road,BLOEMFONTEIN,9317
Tempest Motors,1,Tempest Road,WELKOM,9460
Thusanong BP,71,Constantia Street,WELKOM,9459
Universitas Motors,30,Paul Krugerlaan,BLOEMFONTEIN,9330
Verona Service Station,,Cnr Verona & Prairie,ROSETTENVILLE,2130
Voorspoed Motors,,Cnr General Hertzog & Ring  Rds,VEREENIGING,1935
Wilger Motors,62,Voortrekker Straat,BRANDFORT,9400
Zoo Lake Garage,52,Ennis Road,PARKVIEW,2122
